"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","city"
1262248,"single bedroom in Morges - Minimum stay: 3 nights",6035240,"Michel","Morges","Morges",46.51739,6.49642,"Private room",40,3,51,"2019-10-24",0.56,1,338,"vaud"
1285195,"Nice 1 bedroom flat in Lausanne",6992451,"Youssef","Lausanne","Lausanne",46.51191,6.6339,"Entire home/apt",66,3,8,"2017-07-15",0.12,1,0,"vaud"
1307206,"One bedroom downtown Lausanne",3566383,"First","Lausanne","Lausanne",46.52026,6.63244,"Entire home/apt",185,4,1,"2013-09-08",0.01,2,365,"vaud"
1318979,"Studio Les Avants sur Montreux",7163004,"Kristyna","Riviera-Pays-d'Enhaut","Montreux",46.45383,6.94451,"Entire home/apt",70,1,315,"2021-02-17",3.39,1,359,"vaud"
1371803,"65sqm w/balcony in heart of town",3899631,"Djamel","Lausanne","Lausanne",46.5154,6.62748,"Entire home/apt",99,3,54,"2021-02-21",0.67,2,349,"vaud"
1388711,"Chalet aux pieds des pistes avec places de parcs",7512382,"Dejan","Riviera-Pays-d'Enhaut","Chardonne",46.48368,6.83862,"Entire home/apt",144,2,0,"",NA,2,0,"vaud"
1411747,"Newly renovated & luxurious cottage",7611130,"Nathalie","Morges","Buchillon",46.47062,6.42285,"Entire home/apt",135,3,41,"2021-02-01",0.48,2,300,"vaud"
1500807,"Living and vacation in garden eden !",8020273,"Bent","Broye-Vully","Cudrefin",46.94277,6.99782,"Private room",99,1,21,"2021-01-10",0.26,2,330,"vaud"
1501736,"Nice modern family house close to shops and slopes",8024039,"Sophie","Aigle","Roche (Vaud)",46.35903,6.92909,"Entire home/apt",100,3,0,"",NA,1,0,"vaud"
1516660,"Chalet pieds dans l'eau lac de Joux",8065483,"Alexandre","Jura-Nord vaudois","Le Lieu",46.63105,6.26291,"Entire home/apt",179,2,63,"2020-10-29",0.92,2,48,"vaud"
1519749,"Perle de Lavaux with outstanding Lake Léman views",8111735,"Jean & Beatrix","Lavaux-Oron","Bourg-en-Lavaux",46.49967,6.73638,"Entire home/apt",160,3,27,"2020-08-29",0.3,1,323,"vaud"
1523160,"Appart au coeur de Lausanne",4764074,"Maira","Lausanne","Lausanne",46.52176,6.63741,"Entire home/apt",115,1,166,"2020-10-11",1.82,1,246,"vaud"
1533295,"Nyon Center,cosy & calm near lake",8177334,"Louise","Nyon","Nyon",46.37563,6.22986,"Private room",74,2,16,"2020-02-24",0.21,1,347,"vaud"
1544283,"Charming apartment with parking",8229982,"Valeh","Ouest lausannois","Prilly",46.53664,6.60644,"Entire home/apt",118,2,63,"2020-10-26",0.85,1,363,"vaud"
1553553,"Comfortable room with balcony & breakfast",6862236,"Aïcha","Lausanne","Lausanne",46.52398,6.6244,"Private room",55,2,91,"2020-10-01",1,1,136,"vaud"
1558799,"Nice flat close to the lake",944870,"Veronika","Lausanne","Lausanne",46.51613,6.61257,"Entire home/apt",65,3,22,"2020-09-27",0.37,1,0,"vaud"
1585414,"Cozy corner close to everything",323832,"Le","Lausanne","Lausanne",46.51124,6.62629,"Private room",60,2,24,"2020-08-16",0.43,2,89,"vaud"
1647235,"Magnifique petit appartement",8149022,"Chanthy & Micha","Lausanne","Lausanne",46.52538,6.63293,"Entire home/apt",68,14,0,"",NA,1,0,"vaud"
1664994,"Joli studio refait à neuf plein cœur de Lausanne",8819357,"Gregory","Lausanne","Lausanne",46.52639,6.62004,"Entire home/apt",69,2,40,"2020-09-01",0.6,1,0,"vaud"
1678101,"Unique Swiss mountain chalet",4378849,"Gregor","Aigle","Ormont-Dessus",46.3602,7.16665,"Entire home/apt",100,10,0,"",NA,1,358,"vaud"
1730957,"Lovely flat 20 min from Gstaad",9048020,"Cecilia","Riviera-Pays-d'Enhaut","Château-d'Oex",46.47693,7.14354,"Entire home/apt",350,2,12,"2020-01-03",0.14,1,354,"vaud"
1757721,"Century-old Swiss chalet with views to die for",9242503,"Laura","Aigle","Ollon",46.30138,7.04208,"Entire home/apt",470,5,7,"2020-08-07",0.09,1,1,"vaud"
1793018,"Proche EPFL/UNIL/STCC et du lac ,Parking gratuit",9406251,"Magda & Moïses","Ouest lausannois","Saint-Sulpice (Vaud)",46.51369,6.55734,"Private room",78,1,25,"2020-09-17",1.36,1,344,"vaud"
1814514,"A4C2 très grande et belle chambre",2193547,"Inès","Lausanne","Lausanne",46.53066,6.63127,"Private room",40,1,8,"2018-04-04",0.14,17,337,"vaud"
1816290,"A3C2 Belle chambre, centre ville",2193547,"Inès","Lausanne","Lausanne",46.53066,6.63127,"Private room",40,2,13,"2020-09-02",0.2,17,63,"vaud"
1816791,"A3C1 Superbe chambre avec TV et WIF",2193547,"Inès","Lausanne","Lausanne",46.5307,6.63099,"Private room",43,3,13,"2018-08-30",0.29,17,365,"vaud"
1817066,"Chambre 44",2193547,"Inès","Lausanne","Lausanne",46.53066,6.63127,"Private room",40,2,15,"2020-11-01",0.31,17,185,"vaud"
1817193,"Très belle chambre centrée a4c1",2193547,"Inès","Lausanne","Lausanne",46.52978,6.63195,"Private room",60,2,9,"2020-03-10",0.12,17,365,"vaud"
1817309,"A6C1 Superbe chambre centrée",2193547,"Inès","Lausanne","Lausanne",46.53066,6.63127,"Private room",40,1,39,"2020-07-15",0.44,17,338,"vaud"
1817350,"A6C2 Grande chambre centrée",2193547,"Inès","Lausanne","Lausanne",46.53066,6.63127,"Private room",40,1,12,"2020-07-30",0.14,17,338,"vaud"
1817986,"A6C2 lumineuse chambre centrée",2193547,"Inès","Lausanne","Lausanne",46.53066,6.63127,"Private room",40,2,12,"2019-12-13",0.14,17,247,"vaud"
1818109,"Chambre A6C3 centrée su centre ville",2193547,"Inès","Lausanne","Lausanne",46.53066,6.63127,"Private room",40,2,25,"2021-03-03",0.28,17,337,"vaud"
1819778,"Chambre 41 au 4ème",2193547,"Inès","Lausanne","Lausanne",46.53066,6.63127,"Private room",40,2,18,"2020-11-29",0.2,17,63,"vaud"
1819939,"Chambre 43, Superbe,calme, centrée",2193547,"Inès","Lausanne","Lausanne",46.53066,6.63127,"Private room",55,2,14,"2019-08-01",0.16,17,63,"vaud"
1825632,"37sqm in the heart of Lausanne",3899631,"Djamel","Lausanne","Lausanne",46.50759,6.62698,"Entire home/apt",60,3,57,"2020-12-23",0.94,2,184,"vaud"
1848630,"Cottage with view, surrounded by vineyards",9656202,"Sophie","Lavaux-Oron","Rivaz",46.47669,6.78015,"Entire home/apt",140,2,34,"2021-02-22",0.5,1,213,"vaud"
1849323,"A3c3 chambre avec télévision, WIFI",2193547,"Inès","Lausanne","Lausanne",46.53066,6.63127,"Private room",40,1,18,"2020-10-01",0.2,17,337,"vaud"
1849590,"A 2-room flat in an amazing house !",9660416,"Laura","Lavaux-Oron","Lutry",46.50603,6.68636,"Entire home/apt",114,7,6,"2020-09-26",0.07,1,0,"vaud"
1869460,"Nice room in a large appartment",8155709,"Gabriel","Lausanne","Lausanne",46.53416,6.61967,"Private room",57,2,15,"2015-05-30",0.17,1,90,"vaud"
1870716,"A5C2 Adorable chambre, centre ville",2193547,"Inès","Lausanne","Lausanne",46.53066,6.63127,"Private room",40,1,13,"2020-02-20",0.16,17,215,"vaud"
1878876,"Luxurious apartment",9783725,"Sandrine","Riviera-Pays-d'Enhaut","Montreux",46.43101,6.91152,"Entire home/apt",190,3,15,"2021-01-03",0.19,1,347,"vaud"
1953773,"Gorgeos 2 bedroom flat in Lausanne",3566383,"First","Ouest lausannois","Prilly",46.53273,6.60765,"Entire home/apt",255,4,1,"2016-09-19",0.02,2,364,"vaud"
1957065,"Lovely ap in green, 10min -> center",4433079,"Delphine","Lausanne","Lausanne",46.53078,6.61351,"Entire home/apt",62,9,6,"2014-05-21",0.07,1,0,"vaud"
1977589,"Bel appart au coeur de Lausanne",9664761,"Talisa","Lausanne","Lausanne",46.51686,6.64348,"Entire home/apt",89,5,7,"2018-01-03",0.1,1,0,"vaud"
2026288,"Private room close to the lake",1188670,"Cédric","Lausanne","Lausanne",46.51921,6.60767,"Private room",70,2,36,"2020-09-19",0.48,1,90,"vaud"
2026473,"Suite in Hotel Bristol Villars (Renovated Oct 17)",3935557,"Dimitris","Aigle","Ollon",46.2932,7.05536,"Entire home/apt",120,4,76,"2021-02-17",0.87,1,266,"vaud"
2052062,"Wonderful apartment! Gorgeous view!",6467347,"Christine","Riviera-Pays-d'Enhaut","Saint-Légier-La Chiésaz",46.4681,6.86172,"Entire home/apt",95,30,2,"2019-08-04",0.03,2,346,"vaud"
2052077,"Appartement Le Mont Blanc ",NA,"","","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,"vaud"
13913,"Holiday London DB Room Let-on going",54730,"Alina",NA,"Islington",51.56802,-0.11121,"Private room",40,1,21,"2020-02-22",0.16,2,365,"london"
15400,"Bright Chelsea  Apartment. Chelsea!",60302,"Philippa",NA,"Kensington and Chelsea",51.48796,-0.16898,"Entire home/apt",75,10,89,"2020-03-16",0.65,1,198,"london"
17402,"Superb 3-Bed/2 Bath & Wifi: Trendy W1",67564,"Liz",NA,"Westminster",51.52195,-0.14094,"Entire home/apt",307,4,42,"2019-11-02",0.35,15,294,"london"
17506,"Boutique Chelsea/Fulham Double bed 5-star ensuite",67915,"Charlotte",NA,"Hammersmith and Fulham",51.47935,-0.19743,"Private room",150,3,0,"",NA,2,364,"london"
25123,"Clean big Room in London (Room 1)",103583,"Grace",NA,"Barnet",51.57224,-0.20906,"Private room",29,10,129,"2020-03-15",0.97,3,67,"london"
33332,"Beautiful Ensuite Richmond-upon-Thames borough",144444,"Chi-Chi",NA,"Hounslow",51.46507,-0.32421,"Private room",65,1,6,"2020-03-08",0.05,1,365,"london"
36299,"Kew Gardens 3BR house in cul-de-sac",155938,"Geert",NA,"Richmond upon Thames",51.47934,-0.28066,"Entire home/apt",195,3,79,"2020-08-31",0.63,1,255,"london"
36660,"You are GUARANTEED to love this",157884,"Agri & Roger",NA,"Haringey",51.58461,-0.1617,"Private room",72,2,528,"2020-02-17",4.14,2,361,"london"
36986,"Gorgeous Victorian Flat Overlooking London Fields",159556,"Michael",NA,"Hackney",51.53972,-0.05885,"Entire home/apt",80,6,52,"2019-03-30",0.41,2,90,"london"
37384,"In the footsteps of William Blake..",161459,"Liz",NA,"Southwark",51.46871,-0.06455,"Private room",70,2,55,"2019-06-27",0.42,1,364,"london"
38151,"Double room/ lounge",163634,"Lisa",NA,"Croydon",51.4194,-0.08722,"Private room",65,1,0,"",NA,1,365,"london"
38605,"SUNNY ROOM PRIVATE BATHROOM PLUS BREAKFAST",165579,"Elisa & Dom",NA,"Hammersmith and Fulham",51.50687,-0.23328,"Private room",58,2,366,"2020-03-15",2.9,3,180,"london"
38610,"CHARMING FAMILY HOME SLEEPS 10",165579,"Elisa & Dom",NA,"Hammersmith and Fulham",51.50819,-0.23284,"Entire home/apt",204,6,36,"2020-08-12",0.34,3,270,"london"
38950,"Room 1 Large Double Bedroom - front ground floor",167107,"Paul",NA,"Haringey",51.5873,-0.08606,"Private room",45,1,0,"",NA,4,90,"london"
38995,"SPACIOUS ROOM IN CONTEMPORARY STYLE FLAT",167281,"Cesar",NA,"Southwark",51.47871,-0.06063,"Private room",42,1,6,"2020-02-21",0.45,1,89,"london"
39387,"Stylish bedsit in Notting Hill ish flat.",168920,"Alec",NA,"Westminster",51.52589,-0.19942,"Private room",42,5,10,"2019-11-03",0.12,1,88,"london"
40228,"Room 4 Cosy Double Bedroom on First Floor",167107,"Paul",NA,"Haringey",51.5886,-0.08805,"Private room",45,1,0,"",NA,4,90,"london"
41311,"Clean big Room in London (Room 2)",103583,"Grace",NA,"Barnet",51.57375,-0.2089,"Private room",25,10,84,"2020-01-18",0.66,3,67,"london"
